id,owner,stage,value,created_at,updated_at,closed_at
1,Alex Chen,prospecting,15000,2024-09-01,2024-09-15,
2,Sarah Johnson,qualification,25000,2024-09-03,2024-09-18,
3,Mike Rodriguez,proposal,45000,2024-09-05,2024-09-22,
4,Emily Davis,negotiation,38000,2024-09-07,2024-09-25,
5,Alex Chen,closed_won,52000,2024-09-10,2024-10-01,2024-10-01
6,Sarah Johnson,prospecting,12000,2024-09-12,2024-09-20,
7,Mike Rodriguez,qualification,28000,2024-09-15,2024-09-24,
8,Emily Davis,proposal,42000,2024-09-18,2024-09-28,
9,Alex Chen,negotiation,35000,2024-09-20,2024-10-02,
10,Sarah Johnson,closed_won,48000,2024-09-22,2024-10-05,2024-10-05
11,Mike Rodriguez,prospecting,18000,2024-09-25,2024-10-03,
12,Emily Davis,qualification,32000,2024-09-28,2024-10-08,
13,Alex Chen,proposal,50000,2024-10-01,2024-10-12,
14,Sarah Johnson,negotiation,40000,2024-10-03,2024-10-15,
15,Mike Rodriguez,closed_won,55000,2024-10-05,2024-10-18,2024-10-18
16,Emily Davis,prospecting,14000,2024-10-08,2024-10-16,
17,Alex Chen,qualification,30000,2024-10-10,2024-10-20,
18,Sarah Johnson,proposal,46000,2024-10-12,2024-10-25,
19,Mike Rodriguez,negotiation,39000,2024-10-15,2024-10-28,
20,Emily Davis,closed_won,51000,2024-10-18,2024-11-01,2024-11-01
21,Alex Chen,prospecting,16000,2024-10-20,2024-10-28,
22,Sarah Johnson,qualification,27000,2024-10-22,2024-11-01,
23,Mike Rodriguez,proposal,44000,2024-10-25,2024-11-05,
24,Emily Davis,negotiation,37000,2024-10-28,2024-11-08,
25,Alex Chen,closed_won,49000,2024-11-01,2024-11-12,2024-11-12
26,Sarah Johnson,prospecting,19000,2024-11-03,2024-11-11,
27,Mike Rodriguez,qualification,33000,2024-11-05,2024-11-15,
28,Emily Davis,proposal,47000,2024-11-08,2024-11-18,
29,Alex Chen,negotiation,41000,2024-11-10,2024-11-20,
30,Sarah Johnson,closed_won,53000,2024-11-12,2024-11-22,2024-11-22
31,Mike Rodriguez,prospecting,13000,2024-11-15,2024-11-23,
32,Emily Davis,qualification,29000,2024-11-18,2024-11-26,
33,Alex Chen,proposal,43000,2024-11-20,2024-11-30,
34,Sarah Johnson,negotiation,36000,2024-11-22,2024-12-02,
35,Mike Rodriguez,closed_won,50000,2024-11-25,2024-12-05,2024-12-05
36,Emily Davis,prospecting,17000,2024-11-28,2024-12-06,
37,Alex Chen,qualification,31000,2024-11-30,2024-12-08,
38,Sarah Johnson,proposal,45000,2024-12-02,2024-12-12,
39,Mike Rodriguez,negotiation,38000,2024-12-05,2024-12-15,
40,Emily Davis,closed_won,52000,2024-12-08,2024-12-18,2024-12-18
41,Alex Chen,prospecting,20000,2024-12-10,2024-12-18,
42,Sarah Johnson,qualification,34000,2024-12-12,2024-12-20,
43,Mike Rodriguez,proposal,48000,2024-12-15,2024-12-23,
44,Emily Davis,negotiation,40000,2024-12-18,2024-12-26,
45,Alex Chen,closed_won,54000,2024-12-20,2024-12-28,2024-12-28
46,Sarah Johnson,prospecting,15000,2024-12-23,2024-12-31,
47,Mike Rodriguez,qualification,30000,2024-12-26,2025-01-03,
48,Emily Davis,proposal,46000,2024-12-28,2025-01-05,
49,Alex Chen,negotiation,39000,2024-12-30,2025-01-08,
50,Sarah Johnson,closed_won,51000,2025-01-02,2025-01-10,2025-01-10

